Datetime,news_cnt_5m,news_cnt_15m,news_cnt_60m,sent_sum_pos_5m,sent_sum_neg_5m,sent_net_5m,sent_sum_pos_15m,sent_sum_neg_15m,sent_net_15m,sent_sum_pos_60m,sent_sum_neg_60m,sent_net_60m,sent_ewm_60m
2025-11-07 15:10:00+00:00,1.0,2.0,16.0,0.0086129447445273,0.9717352986335756,-0.1926244707778096,0.4640075108036402,0.9830210665240884,-0.03460090371469655,3.5019601853564377,7.085702671669424,-0.059729041438549756,-0.020364772122360167
2025-11-07 15:11:00+00:00,0.0,2.0,15.0,0.0,0.0,0.0,0.4640075108036402,0.9830210665240884,-0.03460090371469655,2.730745044536888,6.908440797589719,-0.06962826255088052,-0.020130862764244827
2025-11-07 15:12:00+00:00,0.0,2.0,15.0,0.0,0.0,0.0,0.4640075108036402,0.9830210665240884,-0.03460090371469655,2.730745044536888,6.908440797589719,-0.06962826255088052,-0.019899640084256067
2025-11-07 15:13:00+00:00,0.0,2.0,15.0,0.0,0.0,0.0,0.4640075108036402,0.9830210665240884,-0.03460090371469655,2.730745044536888,6.908440797589719,-0.06962826255088052,-0.019671073223263606
2025-11-07 15:14:00+00:00,0.0,2.0,14.0,0.0,0.0,0.0,0.4640075108036402,0.9830210665240884,-0.03460090371469655,2.7231751410290594,5.934415607713163,-0.05352067444473505,-0.019445131676584508
2025-11-07 15:15:00+00:00,1.0,2.0,15.0,0.1367540806531906,0.2730153501033784,-0.02725225389003752,0.14536702539771837,1.2447506487369537,-0.07329224155594902,2.85992922168225,6.207430957816541,-0.05579169560223818,-0.020786879457505413
2025-11-07 15:16:00+00:00,2.0,3.0,16.0,0.17686541751027102,1.1724813878536224,-0.19912319406867024,0.18547836225479877,2.144216686487198,-0.1305825549488266,2.90004055853933,7.106896995566785,-0.07011427395045758,-0.030418652387231734
2025-11-07 15:17:00+00:00,3.0,4.0,17.0,0.1864601764827965,2.144957035779953,-0.39169937185943127,0.19507312122732426,3.1166923344135284,-0.1947746142124136,2.9096353175118557,8.079372643493116,-0.08616228876635432,-0.041128894658128475
2025-11-07 15:18:00+00:00,3.0,4.0,17.0,0.1864601764827965,2.144957035779953,-0.39169937185943127,0.19507312122732426,3.1166923344135284,-0.1947746142124136,2.9096353175118557,8.079372643493116,-0.08616228876635432,-0.04065648901117733
2025-11-07 15:19:00+00:00,4.0,5.0,18.0,0.3556543085724113,2.675141364336014,-0.46389741115272043,0.3642672533169391,3.6468766629695892,-0.21884062731017667,3.0788294496014705,8.609556972049177,-0.09217879204079509,-0.04433583545528991
2025-11-07 15:20:00+00:00,3.0,5.0,18.0,0.2189002279192207,2.4021260142326355,-0.43664515726268294,0.3642672533169391,3.6468766629695892,-0.21884062731017667,3.0788294496014705,8.609556972049177,-0.09217879204079509,-0.0438265949516131
2025-11-07 15:21:00+00:00,3.0,5.0,19.0,0.2283411491662262,2.222484827041626,-0.3988287355750799,0.4052065666764977,3.3949662148952484,-0.19931730988125004,3.1283817077055565,9.329381822608411,-0.10335000191504756,-0.05102194092894847
2025-11-07 15:22:00+00:00,4.0,7.0,21.0,1.1970192193984983,2.21145346108824,-0.20456970306113362,1.3834793958812952,4.356410496868193,-0.19875635830685492,4.106654536910354,10.290826104581356,-0.1032097640214488,-0.050339257778385126
